Date,f18_Global_CO2_average,f18_Global_CO2_trend
1980-1,338.55,337.93
1980-2,339.27,338.22
1980-3,339.6,338.25
1980-4,340,338.37
1980-5,340.43,338.9
1980-6,339.99,339.2
1980-7,338.45,339.3
1980-8,337.22,339.5
1980-9,337.06,339.45
1980-10,337.83,339.17
1980-11,338.93,339.26
1980-12,339.64,339.4
1981-1,340.18,339.55
1981-2,340.74,339.7
1981-3,341.38,340.03
1981-4,341.68,340.06
1981-5,341.42,339.89
1981-6,340.62,339.84
1981-7,339.22,340.07
1981-8,338.07,340.35
1981-9,337.97,340.36
1981-10,339.07,340.41
1981-11,340.17,340.5
1981-12,340.74,340.51
1982-1,341.37,340.76
1982-2,341.95,340.89
1982-3,342.23,340.85
1982-4,342.52,340.9
1982-5,342.36,340.82
1982-6,341.49,340.72
1982-7,339.75,340.61
1982-8,338.11,340.4
1982-9,338.16,340.54
1982-10,339.62,340.96
1982-11,340.95,341.28
1982-12,341.77,341.53
1983-1,342.36,341.71
1983-2,342.74,341.71
1983-3,343.04,341.7
1983-4,343.51,341.93
1983-5,343.83,342.29
1983-6,343.5,342.69
1983-7,342.13,342.9
1983-8,340.62,342.85
1983-9,340.54,342.95
1983-10,341.75,343.15
1983-11,342.81,343.16
1983-12,343.48,343.26
1984-1,344.32,343.66
1984-2,344.83,343.83
1984-3,344.96,343.61
1984-4,345.19,343.56
1984-5,345.34,343.79
1984-6,344.57,343.8
1984-7,343.2,344.01
1984-8,342.21,344.5
1984-9,342.13,344.58
1984-10,342.99,344.37
1984-11,344.16,344.47
1984-12,345.01,344.72
1985-1,345.36,344.67
1985-2,345.81,344.78
1985-3,346.65,345.33
1985-4,346.95,345.34
1985-5,346.79,345.22
1985-6,346.28,345.48
1985-7,344.94,345.76
1985-8,343.42,345.73
1985-9,343.37,345.82
1985-10,344.65,346.04
1985-11,345.79,346.12
1985-12,346.55,346.25
1986-1,347.1,346.42
1986-2,347.33,346.33
1986-3,347.7,346.38
1986-4,348.22,346.6
1986-5,348.31,346.75
1986-6,347.75,346.98
1986-7,346.29,347.13
1986-8,344.91,347.2
1986-9,344.84,347.24
1986-10,346.02,347.39
1986-11,347.28,347.62
1986-12,347.74,347.45
1987-1,348,347.22
1987-2,348.55,347.46
1987-3,349.27,347.85
1987-4,349.96,348.28
1987-5,350.23,348.66
1987-6,349.47,348.8
1987-7,347.9,348.88
1987-8,346.65,349.03
1987-9,346.69,349.14
1987-10,347.96,349.35
1987-11,349.24,349.57
1987-12,350.19,349.88
1988-1,350.91,350.12
1988-2,351.47,350.39
1988-3,351.85,350.38
1988-4,352.3,350.52
1988-5,352.46,350.83
1988-6,351.76,351.06
1988-7,350.28,351.27
1988-8,349.1,351.55
1988-9,349.28,351.79
1988-10,350.44,351.86
1988-11,351.61,351.96
1988-12,352.46,352.18
1989-1,352.99,352.17
1989-2,353.45,352.34
1989-3,354,352.57
1989-4,354.38,352.6
1989-5,354.19,352.51
1989-6,353.26,352.57
1989-7,351.56,352.59
1989-8,350.21,352.7
1989-9,350.56,353.1
1989-10,351.85,353.28
1989-11,353.03,353.38
1989-12,353.9,353.59
1990-1,354.45,353.7
1990-2,354.86,353.79
1990-3,355.19,353.77
1990-4,355.5,353.73
1990-5,355.4,353.73
1990-6,354.31,353.66
1990-7,352.7,353.79
1990-8,351.61,354.11
1990-9,351.8,354.32
1990-10,353.18,354.57
1990-11,354.44,354.72
1990-12,355.17,354.72
1991-1,355.74,354.97
1991-2,356.17,355.06
1991-3,356.69,355.26
1991-4,357.21,355.46
1991-5,357.1,355.47
1991-6,356.17,355.57
1991-7,354.53,355.64
1991-8,353.03,355.54
1991-9,352.9,355.43
1991-10,354.01,355.4
1991-11,355.15,355.4
1991-12,355.95,355.46
1992-1,356.53,355.74
1992-2,356.89,355.76
1992-3,357.27,355.8
1992-4,357.76,355.97
1992-5,357.84,356.2
1992-6,356.87,356.29
1992-7,355.17,356.32
1992-8,353.67,356.23
1992-9,353.6,356.16
1992-10,354.81,356.2
1992-11,355.99,356.23
1992-12,356.75,356.26
1993-1,357.2,356.36
1993-2,357.55,356.39
1993-3,357.95,356.5
1993-4,358.41,356.64
1993-5,358.36,356.71
1993-6,357.35,356.69
1993-7,355.73,356.75
1993-8,354.45,356.91
1993-9,354.47,357.05
1993-10,355.7,357.17
1993-11,356.95,357.3
1993-12,357.86,357.49
1994-1,358.48,357.63
1994-2,359.02,357.86
1994-3,359.36,357.91
1994-4,359.72,357.93
1994-5,359.75,358.08
1994-6,358.82,358.11
1994-7,357.27,358.26
1994-8,356.05,358.55
1994-9,356.02,358.67
1994-10,357.27,358.8
1994-11,358.69,359.04
1994-12,359.55,359.15
1995-1,360.15,359.31
1995-2,360.64,359.53
1995-3,361.09,359.72
1995-4,361.56,359.86
1995-5,361.47,359.84
1995-6,360.61,359.92
1995-7,359,360
1995-8,357.74,360.21
1995-9,358.06,360.65
1995-10,359.44,360.9
1995-11,360.77,361.05
1995-12,361.65,361.18
1996-1,362.14,361.22
1996-2,362.5,361.32
1996-3,362.82,361.4
1996-4,363.14,361.42
1996-5,363.28,361.68
1996-6,362.88,362.22
1996-7,361.57,362.61
1996-8,360.07,362.57
1996-9,359.71,362.32
1996-10,360.67,362.15
1996-11,361.78,362.08
1996-12,362.64,362.2
1997-1,363.28,362.33
1997-2,363.65,362.47
1997-3,364.03,362.62
1997-4,364.5,362.81
1997-5,364.51,362.94
1997-6,363.6,362.97
1997-7,361.94,362.97
1997-8,360.41,362.9
1997-9,360.41,363.01
1997-10,361.94,363.42
1997-11,363.61,363.89
1997-12,364.69,364.23
1998-1,365.19,364.26
1998-2,365.47,364.31
1998-3,365.94,364.53
1998-4,366.58,364.9
1998-5,366.86,365.32
1998-6,366.27,365.67
1998-7,364.84,365.89
1998-8,363.8,366.28
1998-9,364.03,366.62
1998-10,365.34,366.78
1998-11,366.6,366.85
1998-12,367.47,366.97
1999-1,368.12,367.18
1999-2,368.52,367.37
1999-3,368.91,367.52
1999-4,369.3,367.65
1999-5,369.2,367.7
1999-6,368.36,367.79
1999-7,366.69,367.74
1999-8,365.33,367.78
1999-9,365.45,368
1999-10,366.75,368.18
1999-11,368.05,368.28
1999-12,368.88,368.36
2000-1,369.41,368.5
2000-2,369.68,368.54
2000-3,370,368.6
2000-4,370.36,368.69
2000-5,370.25,368.72
2000-6,369.31,368.79
2000-7,367.91,369.05
2000-8,366.75,369.26
2000-9,366.7,369.25
2000-10,367.92,369.3
2000-11,369.29,369.46
2000-12,370.12,369.54
2001-1,370.69,369.79
2001-2,371.18,370.03
2001-3,371.59,370.17
2001-4,371.91,370.24
2001-5,371.81,370.29
2001-6,370.85,370.33
2001-7,369.45,370.57
2001-8,368.32,370.79
2001-9,368.36,370.89
2001-10,369.71,371.1
2001-11,371.04,371.25
2001-12,371.96,371.44
2002-1,372.53,371.56
2002-2,372.92,371.67
2002-3,373.37,371.85
2002-4,373.71,371.96
2002-5,373.7,372.13
2002-6,372.85,372.31
2002-7,371.42,372.56
2002-8,370.36,372.89
2002-9,370.68,373.3
2002-10,371.95,373.44
2002-11,373.29,373.58
2002-12,374.27,373.81
2003-1,374.95,373.93
2003-2,375.46,374.15
2003-3,375.91,374.33
2003-4,376.38,374.6
2003-5,376.51,374.92
2003-6,375.68,375.14
2003-7,374.15,375.3
2003-8,372.92,375.5
2003-9,373.1,375.77
2003-10,374.39,375.91
2003-11,375.67,376
2003-12,376.53,376.1
2004-1,377.21,376.23
2004-2,377.73,376.42
2004-3,378.15,376.56
2004-4,378.47,376.69
2004-5,378.4,376.81
2004-6,377.51,376.97
2004-7,375.97,377.16
2004-8,374.51,377.14
2004-9,374.4,377.06
2004-10,375.73,377.22
2004-11,377.2,377.5
2004-12,378.16,377.68
2005-1,378.73,377.76
2005-2,379.19,377.88
2005-3,379.81,378.22
2005-4,380.3,378.5
2005-5,380.42,378.81
2005-6,379.61,379.02
2005-7,377.95,379.11
2005-8,376.73,379.36
2005-9,376.78,379.48
2005-10,378.09,379.64
2005-11,379.54,379.87
2005-12,380.52,380.04
2006-1,381.32,380.31
2006-2,381.94,380.57
2006-3,382.32,380.69
2006-4,382.65,380.82
2006-5,382.61,380.95
2006-6,381.75,381.14
2006-7,380.07,381.27
2006-8,378.49,381.2
2006-9,378.61,381.38
2006-10,380.04,381.62
2006-11,381.41,381.74
2006-12,382.38,381.9
2007-1,383.03,382
2007-2,383.54,382.14
2007-3,384.01,382.36
2007-4,384.27,382.44
2007-5,384.12,382.49
2007-6,383.26,382.69
2007-7,381.56,382.82
2007-8,380.3,383.06
2007-9,380.69,383.46
2007-10,382.11,383.65
2007-11,383.45,383.74
2007-12,384.46,383.95
2008-1,385.21,384.19
2008-2,385.74,384.35
2008-3,386.15,384.53
2008-4,386.53,384.73
2008-5,386.49,384.86
2008-6,385.57,385.01
2008-7,384.08,385.4
2008-8,382.75,385.55
2008-9,382.54,385.28
2008-10,383.67,385.14
2008-11,385.17,385.4
2008-12,386.26,385.72
2009-1,387.02,385.98
2009-2,387.48,386.05
2009-3,387.71,386.05
2009-4,387.98,386.17
2009-5,387.95,386.35
2009-6,386.96,386.46
2009-7,385.02,386.43
2009-8,383.64,386.51
2009-9,383.94,386.67
2009-10,385.5,386.92
2009-11,386.94,387.13
2009-12,387.83,387.27
2010-1,388.62,387.6
2010-2,389.33,387.93
2010-3,389.68,388.03
2010-4,389.98,388.17
2010-5,389.95,388.36
2010-6,389.01,388.51
2010-7,387.36,388.75
2010-8,386.23,389.05
2010-9,386.7,389.4
2010-10,388.25,389.68
2010-11,389.62,389.8
2010-12,390.36,389.82
2011-1,390.93,389.88
2011-2,391.36,389.93
2011-3,391.67,390.03
2011-4,392.05,390.24
2011-5,392.08,390.46
2011-6,391.13,390.63
2011-7,389.19,390.56
2011-8,387.86,390.64
2011-9,388.27,390.98
2011-10,389.84,391.31
2011-11,391.21,391.43
2011-12,392.05,391.54
2012-1,392.61,391.55
2012-2,393.2,391.78
2012-3,393.73,392.09
2012-4,393.99,392.19
2012-5,393.88,392.28
2012-6,392.84,392.35
2012-7,391,392.43
2012-8,389.89,392.73
2012-9,390.55,393.27
2012-10,392.15,393.58
2012-11,393.56,393.73
2012-12,394.39,393.82
2013-1,395.07,394.09
2013-2,395.69,394.33
2013-3,396.28,394.67
2013-4,396.74,394.93
2013-5,396.75,395.14
2013-6,395.95,395.44
2013-7,394.47,395.82
2013-8,393.23,396
2013-9,393.21,395.88
2013-10,394.5,395.93
2013-11,395.96,396.15
2013-12,396.87,396.34
2014-1,397.51,396.43
2014-2,397.97,396.54
2014-3,398.27,396.6
2014-4,398.63,396.78
2014-5,398.69,397.04
2014-6,397.73,397.16
2014-7,396.14,397.46
2014-8,395.03,397.83
2014-9,395.11,397.89
2014-10,396.37,397.91
2014-11,397.85,398.15
2014-12,398.83,398.36
2015-1,399.56,398.51
2015-2,400.11,398.68
2015-3,400.56,398.85
2015-4,400.95,399.08
2015-5,400.9,399.25
2015-6,400.06,399.49
2015-7,398.39,399.67
2015-8,397.08,399.85
2015-9,397.34,400.14
2015-10,398.8,400.37
2015-11,400.36,400.68
2015-12,401.66,401.18
2016-1,402.64,401.61
2016-2,403.27,401.89
2016-3,403.86,402.19
2016-4,404.39,402.53
2016-5,404.45,402.8
2016-6,403.66,403.06
2016-7,402.11,403.33
2016-8,400.81,403.53
2016-9,400.99,403.79
2016-10,402.42,404.02
2016-11,403.78,404.11
2016-12,404.69,404.22
2017-1,405.32,404.24
2017-2,405.91,404.48
2017-3,406.31,404.62
2017-4,406.6,404.73
2017-5,406.65,404.99
2017-6,405.86,405.27
2017-7,404.11,405.38
2017-8,402.57,405.39
2017-9,402.66,405.5
2017-10,404.16,405.73
2017-11,405.7,406
2017-12,406.75,406.25
2018-1,407.55,406.53
2018-2,408.23,406.86
2018-3,408.76,407.14
2018-4,409.07,407.21
2018-5,408.98,407.31
2018-6,408.09,407.49
2018-7,406.48,407.7
2018-8,405.1,407.86
2018-9,405.17,407.98
2018-10,406.64,408.21
2018-11,408.12,408.4
2018-12,409.17,408.68
2019-1,409.91,408.88
2019-2,410.34,408.98
2019-3,410.89,409.27
2019-4,411.34,409.48
2019-5,411.34,409.67
2019-6,410.53,409.93
2019-7,408.88,410.11
2019-8,407.64,410.4
2019-9,407.92,410.72
2019-10,409.44,411.01
2019-11,410.88,411.16
2019-12,411.75,411.25
2020-1,412.4,411.37
2020-2,412.94,411.58
2020-3,413.45,411.82
2020-4,413.86,412.01
2020-5,413.8,412.14
2020-6,412.88,412.28
2020-7,411.17,412.39
2020-8,409.74,412.5
2020-9,410.06,412.86
2020-10,411.72,413.29
2020-11,413.26,413.54
2020-12,414.15,413.66
2021-1,414.84,413.81
2021-2,415.33,413.97
2021-3,415.65,414.03
2021-4,416.17,414.32
