DATE,f34_drought_Routte_D0,f34_drought_Routte_D1,f34_drought_Routte_D2,f34_drought_Routte_D3,f34_drought_Routte_D4,f34_drought_Routte_W0,f34_drought_Routte_W1,f34_drought_Routte_W2,f34_drought_Routte_W3,f34_drought_Routte_W4
19800101,0,0,0,0,0,23.7,1.3,0,0,0
19800201,0,0,0,0,0,9.7,0,0,0,0
19800301,0,0,0,0,0,53,16.2,0,0,0
19800401,0.5,0,0,0,0,46.2,6.6,0,0,0
19800501,0,0,0,0,0,67.3,14.4,0,0,0
19800601,0,0,0,0,0,65.6,14.2,0,0,0
19800701,0,0,0,0,0,85.2,8,0,0,0
19800801,0,0,0,0,0,47.4,3.4,0,0,0
19800901,0,0,0,0,0,68.7,41.7,6,0,0
19801001,20.8,0.7,0,0,0,0,0,0,0,0
19801101,89.7,46.4,1,0,0,0,0,0,0,0
19801201,99.9,99.9,85.8,39.2,0.2,0,0,0,0,0
19810101,100,100,98.5,73.4,3.9,0,0,0,0,0
19810201,100,100,100,100,99.2,0,0,0,0,0
19810301,99.9,99.9,99.9,61.8,16.5,0,0,0,0,0
19810401,100,100,100,99.8,55.8,0,0,0,0,0
19810501,90,53,10.4,0,0,0,0,0,0,0
19810601,51.2,23.4,1.3,0,0,0,0,0,0,0
19810701,39.9,14.9,0,0,0,2.1,0,0,0,0
19810801,30.4,4.8,0,0,0,3.5,0,0,0,0
19810901,1.5,0,0,0,0,19.4,0,0,0,0
19811001,0,0,0,0,0,100,98,47.1,16.2,0
19811101,0,0,0,0,0,100.1,99.6,43.7,13.1,0
19811201,0,0,0,0,0,100,100,96.9,57.6,0
19820101,0,0,0,0,0,100,100,100,100,87.1
19820201,0,0,0,0,0,100,99.3,0,0,0
19820301,0,0,0,0,0,100.1,98,8,0,0
19820401,0,0,0,0,0,97.5,78.4,0,0,0
19820501,0,0,0,0,0,100,100,9.2,0,0
19820601,0,0,0,0,0,100,100,1.7,0,0
19820701,0,0,0,0,0,68.4,22.7,0,0,0
19820801,0,0,0,0,0,90.7,36.4,0,0,0
19820901,0,0,0,0,0,49.5,20.6,0,0,0
19821001,0,0,0,0,0,37.3,5.9,0,0,0
19821101,0,0,0,0,0,84.2,53,4.6,0,0
19821201,0,0,0,0,0,43.4,15.7,0,0,0
19830101,0,0,0,0,0,24.8,6.1,0,0,0
19830201,16.6,10.7,0,0,0,12,1,0,0,0
19830301,5.8,0,0,0,0,46.3,12.4,0.4,0,0
19830401,2.3,0,0,0,0,45.1,5.6,0,0,0
19830501,0,0,0,0,0,84.2,47.2,0.6,0,0
19830601,0,0,0,0,0,80,24.5,0,0,0
19830701,0,0,0,0,0,97.8,61.3,0.8,0,0
19830801,0,0,0,0,0,88.9,52.2,1.9,0,0
19830901,0,0,0,0,0,93.8,46.2,0,0,0
19831001,0,0,0,0,0,100,91.6,29.4,0,0
19831101,0,0,0,0,0,100,100,98.4,83,7.7
19831201,0,0,0,0,0,100,100,100,100,97.1
19840101,0,0,0,0,0,100,100,100,98.2,63.3
19840201,0,0,0,0,0,100,100,74.9,43,20.7
19840301,0,0,0,0,0,99.9,92.3,71.5,41.3,19.4
19840401,0,0,0,0,0,100.1,93,70.6,37.4,11.1
19840501,0,0,0,0,0,96.1,86.1,58.3,27.7,3.3
19840601,0,0,0,0,0,100,100,88.7,65,36
19840701,0,0,0,0,0,99.9,99.9,96,85.6,47.6
19840801,0,0,0,0,0,100,97.9,82.2,59.3,29.1
19840901,0,0,0,0,0,77.7,53,20.6,8.5,0
19841001,0,0,0,0,0,100.1,99.8,69.7,45.5,15.6
19841101,0,0,0,0,0,100,100,90.5,78,29.7
19841201,0,0,0,0,0,99.9,99.9,88.7,69.3,20.8
19850101,0,0,0,0,0,99.9,95.8,54.7,29.2,10.8
19850201,0,0,0,0,0,99.5,87.1,51.1,31.9,9.6
19850301,0,0,0,0,0,87.7,59.9,16,4.9,0
19850401,0,0,0,0,0,97.2,74,22.6,10.4,0.3
19850501,0,0,0,0,0,76.4,43.1,11.6,0.3,0
19850601,0,0,0,0,0,51.4,19.9,0,0,0
19850701,0,0,0,0,0,58.1,3.6,0,0,0
19850801,0,0,0,0,0,16.2,0,0,0,0
19850901,0,0,0,0,0,17.9,0,0,0,0
19851001,0,0,0,0,0,81.2,40.6,2.3,0,0
19851101,0,0,0,0,0,100,100,91.5,73.7,20.2
19851201,0,0,0,0,0,100.1,100,88.7,50.8,16.7
19860101,0,0,0,0,0,97.3,78.8,12.8,0.4,0
19860201,0,0,0,0,0,100.1,100.1,88.6,18.5,0.6
19860301,0,0,0,0,0,100.1,100.1,90.1,34.4,0.6
19860401,0,0,0,0,0,100,100,68.4,24.4,0.1
19860501,0,0,0,0,0,100,99.2,41.9,22.5,0
19860601,0,0,0,0,0,100.1,96.9,30.8,14.7,0
19860701,0,0,0,0,0,98.7,87.2,28.2,4.9,0
19860801,0,0,0,0,0,48,18.3,0,0,0
19860901,0,0,0,0,0,86.4,71.5,16.2,1.7,0
19861001,0,0,0,0,0,100,100,92.1,51.3,2.1
19861101,0,0,0,0,0,100,88.1,14.6,2.4,0
19861201,0,0,0,0,0,63.7,30.5,2,0,0
19870101,0,0,0,0,0,28.4,8.7,0,0,0
19870201,1.6,0,0,0,0,35.7,16.4,1.3,0,0
19870301,10.2,0.3,0,0,0,26.6,11.2,0.8,0,0
19870401,47.5,24.7,1,0,0,2.6,0,0,0,0
19870501,60.4,41.6,5.2,0,0,3.5,0,0,0,0
19870601,82.9,59.2,29.4,11.3,0,0,0,0,0,0
19870701,84,69.6,38.3,21.2,3.6,0,0,0,0,0
19870801,78.9,60.7,38.5,28.2,12.3,0,0,0,0,0
19870901,80.5,56.6,28.9,20.5,10.1,0,0,0,0,0
19871001,81.5,53.6,34.4,24.4,19.4,0,0,0,0,0
19871101,52.5,33.3,21.8,14.8,0,0,0,0,0,0
19871201,36.6,26.6,16.5,8.9,0,0,0,0,0,0
19880101,6,0.2,0,0,0,28.1,0,0,0,0
19880201,3.7,0.2,0,0,0,16.1,0,0,0,0
19880301,0.8,0,0,0,0,30,12.4,0,0,0
19880401,17.8,8.5,0,0,0,0,0,0,0,0
19880501,13.1,4.7,0,0,0,0,0,0,0,0
19880601,4.4,0,0,0,0,0.8,0,0,0,0
19880701,8.5,0.1,0,0,0,1.5,0,0,0,0
19880801,12.7,0.2,0,0,0,0,0,0,0,0
19880901,22.7,0,0,0,0,0.2,0,0,0,0
19881001,88.7,79.1,47.8,11.8,0,0,0,0,0,0
19881101,56.9,12.7,0,0,0,0,0,0,0,0
19881201,70.5,29,1.9,0,0,0,0,0,0,0
19890101,59.3,36.7,1.3,0,0,0,0,0,0,0
19890201,43.4,16.2,0.5,0,0,0,0,0,0,0
19890301,24.9,6.7,0,0,0,0,0,0,0,0
19890401,41.7,9.6,0,0,0,0.3,0,0,0,0
19890501,53,18.9,0,0,0,0.3,0,0,0,0
19890601,70.2,31,0,0,0,0,0,0,0,0
19890701,5.4,0,0,0,0,4.6,0,0,0,0
19890801,61.1,38.6,0,0,0,0,0,0,0,0
19890901,72,40.9,1.6,0,0,0,0,0,0,0
19891001,81.8,47.2,2.1,0,0,0,0,0,0,0
19891101,91.5,76.9,11.9,5.4,0.3,0,0,0,0,0
19891201,80.3,43,19.6,10.6,1.4,0,0,0,0,0
19900101,76.7,30.5,6,0.8,0,0,0,0,0,0
19900201,22.3,4,0.2,0,0,0,0,0,0,0
19900301,9.9,0.8,0,0,0,0,0,0,0,0
19900401,46,4.2,0.2,0,0,0,0,0,0,0
19900501,72.7,12.4,0.2,0,0,0,0,0,0,0
19900601,41.5,0.6,0,0,0,0,0,0,0,0
19900701,1.8,0,0,0,0,0.3,0,0,0,0
19900801,7.4,0,0,0,0,0,0,0,0,0
19900901,44.1,9,0,0,0,0,0,0,0,0
19901001,1,0,0,0,0,2.4,0,0,0,0
19901101,0.3,0,0,0,0,8.3,0,0,0,0
19901201,13.2,0,0,0,0,0,0,0,0,0
19910101,2.4,0,0,0,0,4.3,0,0,0,0
19910201,2.2,0,0,0,0,6.2,0,0,0,0
19910301,0.4,0,0,0,0,30.4,16.7,0,0,0
19910401,9.4,0,0,0,0,22,2.9,0,0,0
19910501,6.9,0,0,0,0,27.8,6.1,0,0,0
19910601,0,0,0,0,0,31.8,15.1,0,0,0
19910701,11.5,0,0,0,0,26.6,16.6,1.3,0,0
19910801,8.4,0,0,0,0,29.8,17.2,0,0,0
19910901,1,0,0,0,0,31.9,21.1,1.3,0,0
19911001,31.8,10.2,0,0,0,23.7,14.6,0,0,0
19911101,0,0,0,0,0,52.7,38.9,9.1,0,0
19911201,28.8,13.5,0,0,0,11.6,0.5,0,0,0
19920101,40.4,24.7,0.8,0,0,4.5,0,0,0,0
19920201,38.7,19.8,0,0,0,1.1,0,0,0,0
19920301,67.1,40.4,9.8,0,0,0,0,0,0,0
19920401,91.3,50.6,15.8,1.3,0,0,0,0,0,0
19920501,53.8,22.7,0,0,0,0,0,0,0,0
19920601,48.9,14.5,0,0,0,0,0,0,0,0
19920701,2.9,0,0,0,0,17.8,9.4,0,0,0
19920801,32.2,12.7,0,0,0,5.7,0,0,0,0
19920901,8.9,0,0,0,0,7.7,0,0,0,0
19921001,0.6,0,0,0,0,12.3,0,0,0,0
19921101,0,0,0,0,0,13.5,0,0,0,0
19921201,0,0,0,0,0,31.1,0.3,0,0,0
19930101,0,0,0,0,0,79.4,41.2,0,0,0
19930201,0,0,0,0,0,69.4,2.7,0,0,0
19930301,0,0,0,0,0,81.1,14.9,0,0,0
19930401,0,0,0,0,0,65.6,18,0,0,0
19930501,0,0,0,0,0,64.8,13.6,0,0,0
19930601,0,0,0,0,0,80.4,44.8,0,0,0
19930701,0,0,0,0,0,60.1,44.4,0,0,0
19930801,0,0,0,0,0,53.6,42.9,0,0,0
19930901,0,0,0,0,0,55.8,36,8.7,0,0
19931001,0,0,0,0,0,60.9,46.1,14.2,4.8,0
19931101,0,0,0,0,0,53.6,36.7,5.5,0,0
19931201,0,0,0,0,0,36.5,18.5,0,0,0
19940101,37.8,0.9,0,0,0,0.8,0,0,0,0
19940201,33.9,0.2,0,0,0,4,0.5,0,0,0
19940301,74.9,43.4,0,0,0,0,0,0,0,0
19940401,27.2,0,0,0,0,0,0,0,0,0
19940501,68.9,25.8,0,0,0,0,0,0,0,0
19940601,84.3,18.1,0,0,0,0,0,0,0,0
19940701,100.1,100,48.7,20.3,3.1,0,0,0,0,0
19940801,100,100,77,28.7,4.7,0,0,0,0,0
19940901,100,100,92,42.4,0,0,0,0,0,0
19941001,100,99.5,59.5,19.8,0,0,0,0,0,0
19941101,100,79.1,6.9,0,0,0,0,0,0,0
19941201,96.3,73.8,5.9,0,0,0,0,0,0,0
19950101,88,62.5,18.2,1.6,0,0,0,0,0,0
19950201,68.6,35.8,0,0,0,0,0,0,0,0
19950301,62.3,35.6,0.5,0,0,0,0,0,0,0
19950401,0,0,0,0,0,8.6,0,0,0,0
19950501,0,0,0,0,0,100,95,33.2,13.1,0
19950601,0,0,0,0,0,100,100,68.5,23.4,0
19950701,0,0,0,0,0,100,100,88.7,41.1,0.7
19950801,0,0,0,0,0,100,96.8,51.2,18,0
19950901,0,0,0,0,0,100,100,99.6,82.2,24.3
19951001,0,0,0,0,0,100,100,95.6,85.5,34.1
19951101,0,0,0,0,0,99.9,99.9,98.8,92.4,72
19951201,0,0,0,0,0,100.1,100.1,99.2,94.1,74.2
19960101,0,0,0,0,0,100,100,100,99.6,88.7
19960201,0,0,0,0,0,100.1,98.9,73.5,40,19.4
19960301,0,0,0,0,0,98.2,89.1,42.6,25.9,1.7
19960401,0,0,0,0,0,98.6,91.9,37.1,14.2,0
19960501,0,0,0,0,0,98.9,94.2,47.8,23.7,0
19960601,0,0,0,0,0,93.3,66.1,21.4,0,0
19960701,0,0,0,0,0,90.3,64.9,5.4,0,0
19960801,0,0,0,0,0,21.1,1.8,0,0,0
19960901,0,0,0,0,0,57.8,30,0,0,0
19961001,0,0,0,0,0,1.5,0,0,0,0
19961101,0,0,0,0,0,5.2,0,0,0,0
19961201,0,0,0,0,0,66.5,39.4,1.1,0,0
19970101,0,0,0,0,0,100,92.6,39.9,12.3,0
19970201,0,0,0,0,0,97.5,67.2,13.9,0,0
19970301,0,0,0,0,0,72.9,47.7,0,0,0
19970401,0,0,0,0,0,100.1,99.7,46.6,1.2,0
19970501,0,0,0,0,0,100.1,100.1,92,80.7,17.7
19970601,0,0,0,0,0,100,100,88.1,50.4,0
19970701,0,0,0,0,0,99.9,97.8,78.8,36.8,0
19970801,0,0,0,0,0,100,99.3,82.9,53.3,11.8
19970901,0,0,0,0,0,100,99.9,91.2,84,67
19971001,0,0,0,0,0,99.9,98.8,82.8,71.2,52.4
19971101,0,0,0,0,0,100.1,99.7,85.1,74.3,58.2
19971201,0,0,0,0,0,100,99.3,86,74.3,60.4
19980101,0,0,0,0,0,99.9,99.4,78.8,64.3,42.2
19980201,0,0,0,0,0,99.6,93.2,60.2,46.3,10.8
19980301,0,0,0,0,0,99.9,94.6,59.9,48.7,20
19980401,0,0,0,0,0,99.8,95.1,61.4,47.2,17.5
19980501,0,0,0,0,0,82,48.4,9.5,1.6,0
19980601,2.9,0,0,0,0,5.4,0,0,0,0
19980701,8.3,0.2,0,0,0,5.6,0,0,0,0
19980801,8.5,2.6,0,0,0,6,0,0,0,0
19980901,7.6,3.2,0,0,0,33.1,0.5,0,0,0
19981001,1.8,0,0,0,0,34.1,27.8,2.7,0,0
19981101,2,0,0,0,0,30.9,26.5,0,0,0
19981201,12.9,0,0,0,0,25.9,6.8,0,0,0
19990101,0.3,0,0,0,0,32.4,27.8,0,0,0
19990201,0,0,0,0,0,43,30.1,10.2,0.2,0
19990301,27.3,7.2,0,0,0,4.8,0,0,0,0
19990401,0,0,0,0,0,15.9,0.5,0,0,0
19990501,0,0,0,0,0,46.8,17.3,0,0,0
19990601,0,0,0,0,0,65.2,30,0,0,0
19990701,0,0,0,0,0,34.2,1.8,0,0,0
19990801,0,0,0,0,0,65.2,25.7,0,0,0
19990901,0,0,0,0,0,85.5,42.7,0,0,0
19991001,4.3,0,0,0,0,4.5,0,0,0,0
19991101,14.1,0,0,0,0,0,0,0,0,0
19991201,0,0,0,0,0,7.5,0,0,0,0
20000101,1.2,0.2,0,0,0,0,0,0,0,0
20000201,0.8,0,0,0,0,0,0,0,0,0
20000301,4.6,0,0,0,0,0,0,0,0,0
20000401,10.8,0,0,0,0,0,0,0,0,0
20000501,28.4,0.4,0,0,0,0,0,0,0,0
