DATE,f36_drought_Rio_Blanco_D0,f36_drought_Rio_Blanco_D1,f36_drought_Rio_Blanco_D2,f36_drought_Rio_Blanco_D3,f36_drought_Rio_Blanco_D4,f36_drought_Rio_Blanco_W0,f36_drought_Rio_Blanco_W1,f36_drought_Rio_Blanco_W2,f36_drought_Rio_Blanco_W3,f36_drought_Rio_Blanco_W4
19800101,11.3,0,0,0,0,13.3,4.8,0,0,0
19800201,0,0,0,0,0,19.5,5.2,0,0,0
19800301,0,0,0,0,0,52.2,36.8,5.4,0,0
19800401,10.5,0,0,0,0,51.3,32.9,1.5,0,0
19800501,0,0,0,0,0,74.1,63,10.4,1.7,0
19800601,0,0,0,0,0,77.3,63.9,10.8,1.8,0
19800701,0,0,0,0,0,77.3,66.2,15.1,4.1,0.3
19800801,0,0,0,0,0,75.5,42.2,7.1,1.8,0.2
19800901,0,0,0,0,0,78.7,50.7,14.8,4.1,0.4
19801001,0.1,0,0,0,0,31,11.7,1.7,0.2,0
19801101,12,4.6,0,0,0,0.2,0,0,0,0
19801201,84.1,59.1,26,13,0,0,0,0,0,0
19810101,78.3,59.1,26,14.4,0,0,0,0,0,0
19810201,100,100,81,72,36.6,0,0,0,0,0
19810301,72.1,47.4,15.9,8.6,0,0,0,0,0,0
19810401,77.7,66,51.8,29.1,6.5,0,0,0,0,0
19810501,40.6,14.5,0,0,0,0,0,0,0,0
19810601,11.7,0,0,0,0,0,0,0,0,0
19810701,12.3,0.2,0,0,0,0,0,0,0,0
19810801,3.5,0,0,0,0,0,0,0,0,0
19810901,0,0,0,0,0,3.7,0,0,0,0
19811001,0,0,0,0,0,100,100,51.8,19.6,0
19811101,0,0,0,0,0,100,100,72.7,17.7,0
19811201,0,0,0,0,0,100,99.6,33.5,3,0
19820101,0,0,0,0,0,100.1,100.1,88.3,32.9,13.2
19820201,0,0,0,0,0,97.9,44.9,0,0,0
19820301,0,0,0,0,0,92.5,51.8,4.2,0,0
19820401,0,0,0,0,0,51.8,26.9,0,0,0
19820501,0,0,0,0,0,78.4,44.4,0,0,0
19820601,0,0,0,0,0,78,33.2,0,0,0
19820701,41.9,17,0,0,0,6.5,0,0,0,0
19820801,29.2,8.8,0,0,0,9.3,0.1,0,0,0
19820901,0,0,0,0,0,63.2,39.1,13,0,0
19821001,0,0,0,0,0,62.1,36.8,3.5,0,0
19821101,0,0,0,0,0,98,69.1,22.8,0,0
19821201,0,0,0,0,0,91.9,68,5.9,0,0
19830101,0,0,0,0,0,91.3,69,24.2,0,0
19830201,0.9,0,0,0,0,89.2,64.5,8.1,0,0
19830301,0,0,0,0,0,95.9,92.2,61.1,31.9,0
19830401,0,0,0,0,0,95.3,93.8,71.8,42.6,9.7
19830501,0,0,0,0,0,96.6,95,88.7,78.4,32.9
19830601,0,0,0,0,0,96.4,90.4,61.4,3.5,0
19830701,0,0,0,0,0,99,95.5,68.5,11.6,0
19830801,0,0,0,0,0,99.4,92.7,11.6,0.2,0
19830901,0,0,0,0,0,99.7,84.5,2.4,0,0
19831001,0,0,0,0,0,100.1,100.1,53.3,5.3,0
19831101,0,0,0,0,0,100,100,98.8,54,2.3
19831201,0,0,0,0,0,100,100,100,84.2,50.4
19840101,0,0,0,0,0,99.9,99.9,83.5,65.2,33
19840201,0,0,0,0,0,98.6,78.2,41.3,17.7,7.3
19840301,0,0,0,0,0,78.6,62,25.2,16.2,7.6
19840401,0,0,0,0,0,83,72.5,50,20.6,9.4
19840501,0,0,0,0,0,75.4,64.9,29.3,12.8,3.7
19840601,0,0,0,0,0,100,100,84.8,69.3,49.9
19840701,0,0,0,0,0,100.1,100.1,100,68.5,40.7
19840801,0,0,0,0,0,100.1,99.9,69.7,55.9,16.6
19840901,0,0,0,0,0,99.3,85.4,29.6,2.2,0
19841001,0,0,0,0,0,100,99.3,78.8,61.4,11.2
19841101,0,0,0,0,0,99.9,95.9,72.1,59.3,14.7
19841201,0,0,0,0,0,100,100,90.3,51.9,16.1
19850101,0,0,0,0,0,100,100,78.8,29.2,3.3
19850201,0,0,0,0,0,100,100,91.9,30.8,1.6
19850301,0,0,0,0,0,95.6,46.8,6.7,0.8,0
19850401,0,0,0,0,0,94.6,87.2,63.9,17.8,0.8
19850501,0,0,0,0,0,97.4,84.7,33.8,2.6,0
19850601,0,0,0,0,0,94.8,69.1,12.3,1.3,0
19850701,0,0,0,0,0,100,94.7,28.9,0.6,0
19850801,0,0,0,0,0,96.6,51.1,1.2,0.2,0
19850901,0,0,0,0,0,98.6,42.4,0,0,0
19851001,0,0,0,0,0,100,99.8,6.3,0.4,0
19851101,0,0,0,0,0,100.1,100.1,92.9,67.6,32.4
19851201,0,0,0,0,0,100,100,94.5,63,11.6
19860101,0,0,0,0,0,100.1,100,20.3,4.1,0
19860201,0,0,0,0,0,100,100,54.5,29,0.4
19860301,0,0,0,0,0,100,100,81.9,40.5,5
19860401,0,0,0,0,0,99.8,88.3,45,28.1,0.1
19860501,0,0,0,0,0,100,100,64.2,33.6,0.9
19860601,0,0,0,0,0,100,100,56.4,25.5,0
19860701,0,0,0,0,0,99.9,99.5,85.8,11.2,0
19860801,0,0,0,0,0,93.1,71.3,4.7,0,0
19860901,0,0,0,0,0,99.5,97.7,66.3,11.8,0
19861001,0,0,0,0,0,100.1,100.1,97.7,74.6,3.4
19861101,0,0,0,0,0,100,99.8,89.8,43.3,0
19861201,0,0,0,0,0,100,96.9,54.1,1.6,0
19870101,0,0,0,0,0,94.3,82.2,25.8,0,0
19870201,0,0,0,0,0,94.8,88.3,61.3,16.6,0.2
19870301,0,0,0,0,0,93.8,88.7,72.9,42.8,3.4
19870401,0,0,0,0,0,80.5,60.2,0,0,0
19870501,0.5,0,0,0,0,81.6,66.7,14,0,0
19870601,4.6,0,0,0,0,42.7,16.5,0,0,0
19870701,8.7,1.4,0,0,0,27.7,12.6,0,0,0
19870801,7.9,2.6,0,0,0,37.3,26.3,0.5,0,0
19870901,5.2,0,0,0,0,29.7,8.9,0,0,0
19871001,3.9,0,0,0,0,32.9,18.4,0,0,0
19871101,1,0,0,0,0,35.9,25.9,1.8,0,0
19871201,0,0,0,0,0,34.8,22.1,0,0,0
19880101,0,0,0,0,0,77.8,41,7.7,0,0
19880201,0,0,0,0,0,28.6,1.4,0,0,0
19880301,0,0,0,0,0,32,11.7,0,0,0
19880401,8.4,0,0,0,0,16.7,0,0,0,0
19880501,10.1,0,0,0,0,0,0,0,0,0
19880601,0,0,0,0,0,7.9,0,0,0,0
19880701,0,0,0,0,0,5.2,0,0,0,0
19880801,10.1,0,0,0,0,4.1,0,0,0,0
19880901,59.7,0.6,0,0,0,5.7,0,0,0,0
19881001,90.1,79.2,53.7,4,0,0,0,0,0,0
19881101,68.3,48.9,0,0,0,0,0,0,0,0
19881201,63.6,48.1,0,0,0,0,0,0,0,0
19890101,59.9,50.2,7.3,0,0,0,0,0,0,0
19890201,51.7,41,0,0,0,0,0,0,0,0
19890301,56.2,44.3,6.8,0,0,0,0,0,0,0
19890401,52.2,42.4,12.5,0.3,0,0,0,0,0,0
19890501,59.2,48.9,17.1,0.5,0,0,0,0,0,0
19890601,92.4,67.4,35.9,17,1.4,0,0,0,0,0
19890701,47.8,28.8,0,0,0,0,0,0,0,0
19890801,82.6,47.9,0.7,0,0,0,0,0,0,0
19890901,83.2,53.6,4,0,0,0,0,0,0,0
19891001,90.1,66,9.1,0.1,0,0,0,0,0,0
19891101,100,92.7,49.5,9.6,0,0,0,0,0,0
19891201,100.1,95.5,69,44.7,4.7,0,0,0,0,0
19900101,100.1,96.7,86.9,41.3,8.6,0,0,0,0,0
19900201,100.1,91.1,31.7,7.2,0,0,0,0,0,0
19900301,95.9,86,17.8,1.6,0,0,0,0,0,0
19900401,99.8,93,25.1,1,0,0,0,0,0,0
19900501,100,95.9,60.2,1.1,0,0,0,0,0,0
19900601,99.6,74.8,34.7,7.4,0,0,0,0,0,0
19900701,83.8,64.3,20,0,0,0,0,0,0,0
19900801,97.2,77.1,35.2,10.5,0,0,0,0,0,0
19900901,87.8,68.3,18,0,0,0,0,0,0,0
19901001,45.7,11.8,0,0,0,0,0,0,0,0
19901101,51.8,18.8,0,0,0,0,0,0,0,0
19901201,61.9,33.3,0,0,0,0,0,0,0,0
19910101,55.5,29.1,4.5,0,0,0,0,0,0,0
19910201,57.7,28.9,2.4,0,0,0,0,0,0,0
19910301,49.8,32.1,0,0,0,3.1,0.3,0,0,0
19910401,47.1,23.8,0,0,0,3.1,0,0,0,0
19910501,26.1,0,0,0,0,3.4,0,0,0,0
19910601,14.9,0,0,0,0,4.4,0.7,0,0,0
19910701,0.9,0,0,0,0,3.6,0.7,0,0,0
19910801,0,0,0,0,0,6.6,0.6,0,0,0
19910901,0,0,0,0,0,20.2,3,0,0,0
19911001,0,0,0,0,0,16.9,0.5,0,0,0
19911101,0,0,0,0,0,64.1,26.9,1.6,0,0
19911201,0,0,0,0,0,1.4,0,0,0,0
19920101,4.9,0,0,0,0,0,0,0,0,0
19920201,0.6,0,0,0,0,6.3,0,0,0,0
19920301,1.4,0,0,0,0,37.9,10.4,0,0,0
19920401,13.7,1.4,0,0,0,16.5,3.5,0,0,0
19920501,8.9,0,0,0,0,39.6,22.7,3.9,0,0
19920601,10.9,0,0,0,0,24.6,13.6,0,0,0
19920701,0.3,0,0,0,0,59.7,34,7.1,0,0
19920801,10.8,2.8,0,0,0,43.2,17.3,0,0,0
19920901,2.1,0,0,0,0,50.9,23.7,0,0,0
19921001,0,0,0,0,0,81,49.9,0,0,0
19921101,0,0,0,0,0,82.1,57.4,0,0,0
19921201,0,0,0,0,0,75.8,40.6,0,0,0
19930101,0,0,0,0,0,98.2,74.4,18.4,0,0
19930201,0,0,0,0,0,84.3,57.9,3.2,0,0
19930301,0,0,0,0,0,98.7,85.2,55.8,49.9,10
19930401,0,0,0,0,0,99.9,96.6,60.2,46.6,18
19930501,0,0,0,0,0,99.8,97.6,77.9,62.3,33.6
19930601,0,0,0,0,0,100.1,98.5,73.2,58,28.1
19930701,0,0,0,0,0,99.6,94,59.6,45.7,13.8
19930801,0,0,0,0,0,96.8,78.1,46.9,22.3,3.3
19930901,0,0,0,0,0,88.4,62.8,20.5,5.7,0
19931001,0,0,0,0,0,92,65.7,12.2,1,0
19931101,0,0,0,0,0,82.8,54.4,0,0,0
19931201,0,0,0,0,0,0,0,0,0,0
19940101,85.1,30.7,0,0,0,0,0,0,0,0
19940201,99.9,70.1,6.4,0,0,0,0,0,0,0
19940301,100,77.4,40.1,6.5,0,0,0,0,0,0
19940401,49.6,15.1,0,0,0,0,0,0,0,0
19940501,66.6,33.1,0,0,0,0,0,0,0,0
19940601,47.2,0.3,0,0,0,0,0,0,0,0
19940701,100,100,51.9,7.3,0,0,0,0,0,0
19940801,100,100,48.3,16.1,0,0,0,0,0,0
19940901,94.6,73.8,26,5.1,0,0,0,0,0,0
19941001,50,34.4,1.4,0,0,0,0,0,0,0
19941101,32.5,5.1,0,0,0,0,0,0,0,0
19941201,35.3,11.4,0,0,0,0.1,0,0,0,0
19950101,48.9,30.6,0.6,0,0,0,0,0,0,0
19950201,29,10.3,0,0,0,1.1,0,0,0,0
19950301,20.9,1.4,0,0,0,7.5,0.1,0,0,0
19950401,0,0,0,0,0,75.8,53.5,1.2,0,0
19950501,0,0,0,0,0,100,100,95.2,65.9,2.8
19950601,0,0,0,0,0,99.9,99.9,98.4,83.5,16.6
19950701,0,0,0,0,0,100.1,100.1,100,97,23.9
19950801,0,0,0,0,0,100,100,88.2,20,0
19950901,0,0,0,0,0,100,100,99.9,96.9,40.9
19951001,0,0,0,0,0,100,100,84.5,53.2,37.1
19951101,0,0,0,0,0,100.1,100.1,56.1,48.3,33.1
19951201,0,0,0,0,0,100,88.9,51.8,46.7,30.3
19960101,0,0,0,0,0,99.9,64.9,50.5,44.3,30.1
19960201,0,0,0,0,0,60.3,51.4,26.9,13.7,5.1
19960301,24.4,0,0,0,0,45.5,33.7,10.1,5.2,1.6
19960401,5.1,0,0,0,0,47.4,39.2,6.6,3.2,0
19960501,0,0,0,0,0,50.1,41.6,9.8,4.9,0
19960601,19,0,0,0,0,36.4,11.4,4.6,0,0
19960701,0,0,0,0,0,48.6,10,3.3,0,0
19960801,2.2,0,0,0,0,12.9,4.1,0,0,0
19960901,0,0,0,0,0,45.1,7.7,0,0,0
19961001,0,0,0,0,0,30,5.7,0,0,0
19961101,0,0,0,0,0,31.4,0,0,0,0
19961201,0,0,0,0,0,88.7,24.8,0,0,0
19970101,0,0,0,0,0,84,59,10.5,1.7,0
19970201,0,0,0,0,0,69.8,53.5,3.4,0,0
19970301,0,0,0,0,0,47.1,24.1,0,0,0
19970401,0,0,0,0,0,84,59.2,25.5,0,0
19970501,0,0,0,0,0,99.9,99.9,58.9,32.9,0
19970601,0,0,0,0,0,100,100,58.1,6.5,0
19970701,0,0,0,0,0,100,57.4,44.4,1.8,0
19970801,0,0,0,0,0,99.2,80.6,49.1,15.4,0.2
19970901,0,0,0,0,0,100,100,100,95,69.1
19971001,0,0,0,0,0,100,100,99.4,90.9,48.5
19971101,0,0,0,0,0,100.1,100.1,100.1,90.7,45.9
19971201,0,0,0,0,0,100,100,100,100,61
19980101,0,0,0,0,0,100,100,97.7,82.8,26.4
19980201,0,0,0,0,0,100,100,96.6,72.9,24.7
19980301,0,0,0,0,0,100,100,99,88.2,42
19980401,0,0,0,0,0,100,100,98.7,93.7,65.3
19980501,0,0,0,0,0,100,96.4,17.9,0.2,0
19980601,0,0,0,0,0,90.3,61.8,8.9,0,0
19980701,0,0,0,0,0,80.6,47.8,18.2,0,0
19980801,0,0,0,0,0,71.5,38.1,0,0,0
19980901,0,0,0,0,0,64.3,33.5,0,0,0
19981001,0,0,0,0,0,94.1,71.2,28.4,0.1,0
19981101,0,0,0,0,0,76.7,43.5,25.9,0,0
19981201,0.5,0,0,0,0,45.8,31.8,5.2,0,0
19990101,2.9,0.1,0,0,0,51.9,30.9,0.5,0,0
19990201,0.6,0,0,0,0,83.4,58.2,26.6,0.1,0
19990301,23.9,11.5,4.3,0,0,0.2,0,0,0,0
19990401,0,0,0,0,0,38.9,16.5,0,0,0
19990501,0,0,0,0,0,75.7,50.4,23.5,0.1,0
19990601,0,0,0,0,0,86.2,62.8,30.1,8.3,0
19990701,0,0,0,0,0,75.3,48.2,27.3,4,0
19990801,0,0,0,0,0,87.3,67.4,26.9,0.4,0
19990901,0,0,0,0,0,92.3,51.4,14.8,0,0
19991001,0,0,0,0,0,52.2,40.6,0,0,0
19991101,4.4,0,0,0,0,40.4,0,0,0,0
19991201,0,0,0,0,0,52.9,12.1,0,0,0
20000101,15.4,0,0,0,0,0,0,0,0,0
20000201,28.2,2.9,0,0,0,0,0,0,0,0
20000301,8.9,0,0,0,0,0,0,0,0,0
20000401,75,52.2,0,0,0,0,0,0,0,0
